"Source:","C:\Users\evgen\Desktop\SmartWatch\Hardware\SmartWatch\SmartWatch.sch"
"Date:","1/24/2022 10:11:59 AM"
"Tool:","Eeschema (5.1.10)-1"
"Generator:","C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","78"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Height","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","Manufacturer_Name","Manufacturer_Part_Number","Mouser Part Number","Mouser Price/Stock","PARTREV","STANDARD"
"19","1","J4","Adafruit 4520","Connector:Conn_01x24_Female","Connector_FFC-FPC:Hirose_FH12-24S-0.5SH_1x24-1MP_P0.50mm_Horizontal","~","","","","","","","","","",""
"20","1","JP1","Jumper","Device:Jumper","Jumper:SolderJumper-2_P1.3mm_Bridged2Bar_Pad1.0x1.5mm","~","","","","","","","","","",""
"21","2","L1, L2","470nH","Device:L","Inductor_SMD:L_0402_1005Metric","~","","","","","","","","","",""
"22","1","LS1","SMS-1508MS-HT-R","SamacSys_Parts:SMS-1508MS-HT-R","SMS1508MSHTR","https://www.mouser.ch/datasheet/2/334/SMS_1508MS_HT_R-1903128.pdf","SURFACE MOUNT SPEAKER .8 W 8 OHM","4.5","","","PUI Audio","SMS-1508MS-HT-R","665-SMS1508MSHTR","https://www.mouser.co.uk/ProductDetail/PUI-Audio/SMS-1508MS-HT-R?qs=DPoM0jnrROW0WGxPj9sCAA%3D%3D","",""
"23","1","M1","c0720b001f","Motor:Motor_DC","Connector_PinHeader_1.00mm:PinHeader_1x02_P1.00mm_Vertical","~","","","","","","","","","",""
"24","2","Q1, Q2","ECH8693R-TL-W","SamacSys_Parts:ECH8693R-TL-W","SOTFL65P280X95-8N","http://www.onsemi.com/pub/Collateral/ECH8693R-D.PDF","ON SEMICONDUCTOR - ECH8693R-TL-W - MOSFET, DUAL N-CH, 24V, 14A, SOT-28FL","0.95","","","ON Semiconductor","ECH8693R-TL-W","863-ECH8693R-TL-W","https://www.mouser.co.uk/ProductDetail/ON-Semiconductor/ECH8693R-TL-W/?qs=Tr3lMbyRyKkLUc9md0qy2g%3D%3D","",""
"25","2","R1, R2","5.1M","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"26","2","R3, R7","330","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"27","1","R4","0.39","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"28","1","R5","2.2K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"29","6","R6, R8, R12, R13, R14, R15","10K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"30","2","R9, R10","4.7K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"31","1","R11","100m","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"32","3","R16, R17, R18","3.3K","Device:R","Resistor_SMD:R_01005_0402Metric","~","","","","","","","","","",""
"33","1","SW1","UP","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"34","1","SW2","CHOOSE","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"35","1","SW3","DOWN","Switch:SW_MEC_5G","Button_Switch_THT:SW_Tactile_SPST_Angled_PTS645Vx58-2LFS","http://www.apem.com/int/index.php?controller=attachment&id_attachment=488","","","","","","","","","",""
"36","1","U1","BQ297xy","Battery_Management:BQ297xy","Package_SON:WSON-6_1.5x1.5mm_P0.5mm","http://www.ti.com/lit/ds/symlink/bq2970.pdf","","","","","","","","","",""
"37","1","U2","ATmega328P-MMH","MCU_Microchip_ATmega:ATmega328P-MMH","Package_DFN_QFN:QFN-28-1EP_4x4mm_P0.45mm_EP2.4x2.4mm","http://ww1.microchip.com/downloads/en/DeviceDoc/ATmega328_P%20AVR%20MCU%20with%20picoPower%20Technology%20Data%20Sheet%2040001984A.pdf","","","","","","","","","",""
"38","1","U3","W25Q128JVS","Memory_Flash:W25Q128JVS","Package_SO:SOIC-8_5.23x5.23mm_P1.27mm","http://www.winbond.com/resource-files/w25q128jv_dtr%20revc%2003272018%20plus.pdf","","","","","","","","","",""
"39","1","U4","MAX30100EFD+","MAX30100:MAX30100EFD+","MAX30100:MAX30100EFD&plus_","","","","","","","","","","",""
"40","1","U5","DA14683-00000A92","DA14683-00000A92:DA14683-00000A92","XCVR_DA14680-01F08A92","","","","Dialog Semiconductor","0.85 mm","","","","","5","IPC 7351B"
"41","1","Y1","16Mhz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","","","","","","","","","",""
"42","1","Y2","16Mhz","Device:Crystal_GND2","Crystal:Crystal_SMD_HC49-SD","~","","","","","","","","","",""
"43","1","Y3","32.768Mhz","Device:Crystal","Crystal:Crystal_SMD_HC49-SD","~","","","","","","","","","",""
